MVP_RANK,WAR,YEAR,WAR_RANK
5,5.3,2013,9
8,5.2,2013,10
10,5.2,2013,11
15,4.7,2013,12
12,4.6,2013,13
13,4.6,2013,14
11,3.1,2013,15
2,10.5,2012,1
4,8.4,2012,2
8,8,2012,3
3,7.2,2012,4
1,7.1,2012,5
12,6.6,2012,6
11,5,2012,7
15,4.8,2012,8
9,4.7,2012,9
6,4.1,2012,10
5,4,2012,11
10,4,2012,12
13,3.7,2012,13
14,2.4,2012,14
7,2.2,2012,15
1,7.6,2012,1
4,7.2,2012,2
7,7.1,2012,3
2,6.9,2012,4
3,6.9,2012,5
5,6.4,2012,6
15,5.9,2012,7
14,5.8,2012,8
9,5.6,2012,9
6,4.2,2012,10
11,4,2012,11
13,4,2012,12
12,3.4,2012,13
8,3.2,2012,14
10,2.2,2012,15
